Order_ID,Order_Date,Sales_Channel,Product_Category,Sales,Profit
ORD-0647,2025-01-01,Online,Accessories,314.74,83.52
ORD-0754,2025-01-01,Online,Accessories,247.55,71.87
ORD-2030,2025-01-01,Retail,Apperal,310.24,104.14
ORD-0977,2025-01-01,Online,Apperal,494.33,96.59
ORD-1135,2025-01-01,Online,Apperal,377.88,156.26
ORD-1973,2025-01-01,Online,Footwear,191.14,30.97
ORD-1797,2025-01-02,Online,Apperal,328.07,127.31
ORD-0069,2025-01-02,Retail,Accessories,315.34,33.58
ORD-0212,2025-01-02,Online,Accessories,159.58,59.88
ORD-1911,2025-01-02,Online,Apperal,286.21,116.46
ORD-2131,2025-01-02,Online,Apperal,468.22,177.51
ORD-0267,2025-01-02,Online,Footwear,398.67,163.55
ORD-1489,2025-01-03,Online,Apperal,596.07,102.69
ORD-2085,2025-01-03,Online,Apperal,480.35,107.19
ORD-0881,2025-01-03,Retail,Footwear,351.87,41.63
ORD-1547,2025-01-03,Online,Accessories,569.62,124.09
ORD-0953,2025-01-04,Retail,Apperal,375.48,91.2
ORD-1298,2025-01-04,Online,Footwear,170.84,32.64
ORD-1022,2025-01-05,Online,Apperal,37.77,12.64
ORD-0832,2025-01-05,Retail,Accessories,329.64,132.04
ORD-0419,2025-01-05,Online,Apperal,364.78,130.69
ORD-0720,2025-01-05,Online,Footwear,292.2,59.04
ORD-0132,2025-01-05,Online,Apperal,342.59,35.67
ORD-0949,2025-01-06,Retail,Apperal,446.32,102.16
ORD-1615,2025-01-07,Retail,Apperal,76.65,26.82
ORD-1683,2025-01-07,Online,Footwear,263.54,93.32
ORD-1830,2025-01-07,Online,Accessories,349.77,119.98
ORD-1249,2025-01-07,Online,Accessories,253.21,96.06
ORD-2342,2025-01-07,Online,Footwear,573.92,106.57
ORD-0880,2025-01-07,Online,Footwear,555.48,116.75
ORD-2007,2025-01-08,Online,Accessories,165.65,52.13
ORD-2934,2025-01-08,Online,Footwear,470.73,52.42
ORD-1225,2025-01-08,Online,Accessories,294.02,47.65
ORD-0692,2025-01-08,Online,Footwear,321.67,97.17
ORD-0860,2025-01-08,Online,Apperal,151.34,34.04
ORD-2508,2025-01-08,Online,Accessories,424.83,46.77
ORD-1814,2025-01-09,Online,Apperal,538.78,132.34
ORD-0597,2025-01-09,Online,Accessories,343.58,115.98
ORD-0274,2025-01-09,Online,Footwear,539.64,176.3
ORD-2660,2025-01-10,Online,Accessories,564.29,105.88
ORD-0987,2025-01-10,Online,Footwear,312.28,101.36
ORD-1938,2025-01-10,Online,Apperal,515.28,194.54
ORD-2165,2025-01-10,Retail,Footwear,257.36,33.07
ORD-2493,2025-01-10,Online,Footwear,420.54,54.08
ORD-0717,2025-01-10,Retail,Accessories,351.78,140.4
ORD-1774,2025-01-11,Online,Footwear,357.69,147.91
ORD-1097,2025-01-11,Retail,Accessories,525.98,64.68
ORD-1512,2025-01-11,Retail,Apperal,490.16,114.4
ORD-1343,2025-01-11,Retail,Footwear,276.15,40.51
ORD-1982,2025-01-12,Retail,Apperal,192.49,76.35
ORD-0686,2025-01-12,Online,Apperal,37.02,11.42
ORD-2277,2025-01-12,Online,Accessories,419.98,151.32
ORD-2373,2025-01-12,Online,Accessories,309.81,102.07
ORD-2329,2025-01-12,Online,Footwear,109.16,11.5
ORD-1397,2025-01-12,Online,Apperal,285.09,96.94
ORD-2094,2025-01-12,Retail,Apperal,548.71,185.94
ORD-2674,2025-01-12,Online,Accessories,396.07,106.29
ORD-1842,2025-01-12,Online,Apperal,405.38,104.81
ORD-0511,2025-01-12,Online,Accessories,408.73,92.95
ORD-2449,2025-01-13,Retail,Apperal,60.37,8.36
ORD-2666,2025-01-13,Online,Apperal,36.51,8.24
ORD-0991,2025-01-13,Online,Apperal,259.74,77.75
ORD-0054,2025-01-14,Online,Footwear,468.0,116.81
ORD-1841,2025-01-14,Online,Apperal,345.17,100.74
ORD-1919,2025-01-14,Retail,Footwear,586.24,231.88
ORD-2676,2025-01-14,Retail,Accessories,559.95,141.24
ORD-0138,2025-01-15,Retail,Apperal,134.49,45.46
ORD-1057,2025-01-15,Retail,Footwear,28.9,10.21
ORD-0097,2025-01-15,Online,Accessories,568.99,192.11
ORD-0887,2025-01-15,Retail,Footwear,507.66,141.86
ORD-1081,2025-01-15,Online,Accessories,406.84,169.07
ORD-1419,2025-01-16,Online,Accessories,487.45,186.95
ORD-0489,2025-01-16,Retail,Apperal,543.6,81.01
ORD-2970,2025-01-16,Online,Apperal,512.03,70.25
ORD-1459,2025-01-16,Online,Apperal,533.88,220.54
ORD-1393,2025-01-17,Online,Accessories,574.65,133.02
ORD-1373,2025-01-17,Retail,Apperal,596.72,70.81
ORD-2519,2025-01-17,Online,Accessories,209.96,77.14
ORD-1665,2025-01-17,Online,Accessories,75.47,18.9
ORD-2483,2025-01-17,Retail,Accessories,492.95,153.44
ORD-1312,2025-01-17,Online,Apperal,166.88,46.35
ORD-1640,2025-01-17,Retail,Apperal,541.72,101.32
ORD-0339,2025-01-17,Online,Apperal,550.44,242.7
ORD-0364,2025-01-18,Online,Accessories,577.82,247.3
ORD-1202,2025-01-18,Online,Footwear,499.55,104.81
ORD-2731,2025-01-19,Retail,Footwear,521.24,113.1
ORD-2636,2025-01-19,Retail,Apperal,355.92,76.13
ORD-2058,2025-01-19,Retail,Accessories,259.53,106.83
ORD-0558,2025-01-19,Online,Apperal,329.68,143.09
ORD-1201,2025-01-19,Retail,Footwear,62.38,26.87
ORD-2701,2025-01-20,Retail,Accessories,309.04,131.85
ORD-2681,2025-01-20,Retail,Footwear,346.93,133.91
ORD-1539,2025-01-20,Online,Accessories,45.48,14.57
ORD-0389,2025-01-20,Retail,Accessories,37.98,8.14
ORD-2691,2025-01-20,Retail,Footwear,575.34,58.04
ORD-1971,2025-01-20,Online,Accessories,320.1,101.08
ORD-2477,2025-01-21,Retail,Apperal,36.02,7.1
ORD-0007,2025-01-21,Retail,Accessories,187.53,83.96
ORD-2105,2025-01-21,Retail,Footwear,245.77,71.91
ORD-0048,2025-01-21,Retail,Footwear,534.93,79.69
ORD-1903,2025-01-21,Online,Apperal,349.47,126.57
ORD-1712,2025-01-21,Online,Accessories,49.08,6.63
ORD-2841,2025-01-21,Online,Accessories,307.78,37.32
ORD-1705,2025-01-22,Online,Footwear,250.09,39.43
ORD-1669,2025-01-22,Online,Accessories,105.88,47.35
ORD-0030,2025-01-22,Retail,Footwear,536.88,63.67
ORD-1836,2025-01-22,Online,Accessories,515.57,216.45
ORD-0318,2025-01-22,Retail,Apperal,68.21,24.95
ORD-2878,2025-01-22,Retail,Accessories,216.42,22.94
ORD-1102,2025-01-23,Online,Accessories,342.01,84.91
ORD-0479,2025-01-23,Retail,Footwear,358.63,118.87
ORD-0744,2025-01-23,Retail,Footwear,223.85,81.42
ORD-1039,2025-01-23,Retail,Apperal,266.86,104.66
ORD-2637,2025-01-23,Online,Footwear,557.03,85.09
ORD-1875,2025-01-24,Online,Apperal,87.06,37.31
ORD-0576,2025-01-25,Retail,Apperal,184.42,42.37
ORD-1379,2025-01-25,Online,Accessories,186.37,62.75
ORD-0903,2025-01-25,Online,Footwear,500.07,76.15
ORD-2364,2025-01-25,Online,Accessories,132.13,16.18
ORD-1162,2025-01-25,Online,Accessories,512.2,87.03
ORD-0963,2025-01-26,Retail,Apperal,571.6,238.2
ORD-2163,2025-01-26,Online,Footwear,376.29,138.25
ORD-0858,2025-01-26,Retail,Accessories,146.33,44.96
ORD-2915,2025-01-26,Retail,Accessories,348.56,112.26
ORD-1737,2025-01-27,Online,Apperal,315.8,132.23
ORD-0326,2025-01-27,Retail,Footwear,91.86,41.14
ORD-1320,2025-01-27,Retail,Footwear,264.32,67.5
ORD-2864,2025-01-28,Online,Footwear,193.7,19.79
ORD-0871,2025-01-28,Online,Footwear,92.16,37.29
ORD-0116,2025-01-28,Online,Footwear,274.58,53.85
ORD-0163,2025-01-28,Online,Apperal,338.31,84.49
ORD-0891,2025-01-28,Retail,Footwear,414.32,168.31
ORD-1925,2025-01-28,Online,Accessories,573.05,219.46
ORD-0611,2025-01-29,Retail,Apperal,75.36,17.14
ORD-1684,2025-01-29,Retail,Accessories,466.52,55.1
ORD-1340,2025-01-29,Retail,Footwear,487.04,106.04
ORD-2491,2025-01-29,Online,Apperal,590.05,246.8
ORD-1474,2025-01-29,Online,Apperal,224.97,32.79
ORD-1123,2025-01-29,Retail,Apperal,149.28,39.71
ORD-1301,2025-01-29,Online,Footwear,99.95,39.08
ORD-2639,2025-01-30,Online,Footwear,583.24,144.03
ORD-1618,2025-01-31,Retail,Footwear,265.79,67.32
ORD-1192,2025-02-01,Online,Accessories,196.74,73.36
ORD-2897,2025-02-01,Online,Accessories,126.8,38.51
